text,label
"Government confirms the national vaccination campaign reached a record number of rural clinics after a verified public health rollout completed this week.",0
"Central bank announces gradual policy adjustment after quarterly inflation data shows moderation across manufacturing and food sectors.",0
"Scientists publish peer reviewed findings on coral reef recovery in a major environmental journal after a five year monitoring program.",0
"The city transport department launched an electric bus corridor and published route schedules, safety audits, and commuter guidelines on its official portal.",0
"A university research team released open data showing improved crop yields in drought resistant rice varieties after controlled field trials.",0
"The health ministry issued a confirmed advisory about seasonal flu prevention and expanded vaccination hours in district hospitals.",0
"Election commission releases official voter turnout numbers and district wise participation summary after verified counting procedures.",0
"The energy regulator approved new rooftop solar incentives for households, according to the signed notification posted on the department website.",0
"A local court dismissed the petition after examining evidence presented by both parties during a public hearing.",0
"Meteorological officials forecast heavy rain over coastal regions and advised schools to follow updated emergency response plans.",0
"The education board announced revised examination dates and published the final timetable with center codes for all districts.",0
"An international health agency confirmed a decline in malaria cases following sustained mosquito control programs and field verification.",0
"Breaking miracle herb instantly cures every cancer in one day and doctors do not want the public to know this hidden remedy.",1
"Secret government files prove the moon is made of artificial metal and every scientist has hidden the truth for decades.",1
"Celebrity chef reveals banks are replacing all coins with tracking devices that control citizens through supermarket scanners.",1
"Shock report says drinking hot water at midnight will erase all debt because ancient energy waves reset the economy.",1
"Unknown website claims satellites can read private thoughts and that every smartphone user is already under psychic surveillance.",1
"Viral post alleges schools are injecting microchips in notebooks to monitor children even when devices are switched off.",1
"Anonymous source declares that hurricanes are manufactured daily by a secret machine hidden under the ocean by foreign agents.",1
"Sensational article insists that farmers are growing plastic rice approved by invisible international rulers to reduce population.",1
"Conspiracy blog states that hospitals are banning sunlight because it exposes a secret cure being hidden from the public.",1
"Social media message says all upcoming elections were cancelled secretly and replaced with a lottery controlled by actors.",1
"Misleading portal reports that airplanes dump memory loss chemicals every weekend to erase evidence of an alien treaty.",1
"Fabricated story claims every ATM note contains a sleeping powder that makes people obedient after midnight shopping.",1
